单词	发音	词性 中文释义	英文释义: 示例短语	补充内容	笔记
ice cream	/aɪs/	n. 冰淇淋	frozen sweet food: eat ice-cream	【同】frozen sweet food 【联想】ice 冰，cream 奶油	
i·dea	/aɪˈdɪə/	n. 想法	thought: a good idea	【联想】形近 ideal 理想的【词根】idea 'see'【辨析】opinion 意见；idea 主意	
i·den·ti·fi·ca·tion	/aɪˌdentɪfɪˈkeɪʃən/	n. 识别；鉴定；身份证明	ID: show identification	【联想】identify 识别【词根】ident 'same' + -ification	
i·den·ti·ty	/aɪˈdentəti/	n. 身份	who someone is: identity card	【同】who someone is【联想】identify 识别【词根】ident 'same' + -ity	
id·i·om	/ˈɪdiəm/	n. 成语	fixed phrase: an English idiom		
if	/ɪf/	conj. 如果	whether: if possible	【辨析】whether 是否(正式)；if 是否/如果(口语)	
ig·nore	/ɪɡˈnɔːr/	vt. 忽视，不理睬	disregard: ignore the problem	【词根】i- 'not' + gnor 'know' + -e【联想】ignorant 无知的，ignorance 无知	
ill	/ɪl/	a. 生病的	sick: fall ill	【联想】illness 疾病【辨析】ill 生病(表语/英)；sick 生病(定语/美)	
il·le·gal	/ɪˈliːɡəl/	a. 非法的	unlawful: illegal behavior	【联想】反义 legal 合法的【词根】il- 'not' + legal 'legal'	
ill·ness	/ˈɪlnəs/	n. 疾病	disease: a serious illness	【联想】ill 生病的【词根】ill 'ill' + -ness	
i·ma·gine	/ɪˈmædʒɪn/	vt. 想象	envision: imagine a world	【联想】imagination 想象，imaginary 想象的【词根】imag 'image' + -ine	
im·me·di·ate	/ɪˈmiːdiət/	a. 立即的	instant: immediate action	【词根】im- 'not' + medi 'middle' + -ate【联想】immediately 立即	
im·me·di·ate·ly	/ɪˈmiːdiətli/	ad. 立即	at once: leave immediately	【联想】immediate 立即的【词根】im- 'not' + medi 'middle' + -ately	
im·mi·gra·tion	/ˌɪmɪˈɡreɪʃən/	n. 移民	moving to another country: immigration policy	【同】moving to another country 【联想】immigrate 移入【词根】im- 'in' + migr 'migrate' + -ation	
im·port	/ɪmˈpɔːt/	vt. 进口	bring in: import goods	【反】export 【联想】反义 export 出口，词根 port 运【词根】im- 'in' + port 'carry'	
im·por·tance	/ɪmˈpɔːtəns/	n. 重要性	significance: the importance of study	【联想】important 重要的【词根】im- 'in' + port 'carry' + -ance	
im·por·tant	/ɪmˈpɔːtənt/	a. 重要的	significant: an important meeting	【同】SIGNIFICANT, consequential, momentous, of great import, major, critical, crucial, vital 【联想】importance 重要性【词根】im- 'in' + port 'carry' + -ant	
im·pos·si·ble	/ɪmˈpɒsəbəl/	a. 不可能的	not possible: an impossible task	【联想】反义 possible 可能的【词根】im- 'not' + possible 'possible'	
im·press	/ɪmˈpres/	vt. 给…留下印象	strike: impress sb. with sth.	【词组】be impressed with 【联想】impression 印象【词根】im- 'in' + press 'press'	
im·pres·sion	/ɪmˈpreʃən/	n. 印象	feeling: leave a good impression	【联想】impress 给印象【词根】im- 'in' + press 'press' + -ion	
im·prove	/ɪmˈpruːv/	v. 改进	make better: improve one's English	【同】make better, become better 【联想】improvement 改进【词根】im- 'make' + prove 'profit'【辨析】improve 改善(质量)；increase 增加(数量)	
in	/ɪn/	prep. 在…里面	inside: in the box	【反】out	
inch	/ɪntʃ/	n. 英寸	unit of length: an inch long		
in·ci·dent	/ˈɪnsɪdənt/	n. 事件	event: an accident incident	【联想】同义 accident 事故【词根】in- 'on' + cid 'fall' + -ent	
in·clude	/ɪnˈkluːd/	vt. 包括	contain: include sth. in	【反】exclude 【联想】including 包括，反义 exclude 排除【词根】in- 'in' + clud 'close'【辨析】include 包括(部分)；contain 包含(内容物)	
in·come	/ˈɪŋkʌm/	n. 收入	earnings: family income	【联想】词根 come 来，outcome 结果【词根】in 'in' + come 'come'	
in·crease	/ɪnˈkriːs/	v. 增加	grow: increase in price	【同】grow, rise. The price of fuel has increased by 5%【反】decrease 【联想】反义 decrease 减少【词根】in- 'intensive' + crease 'grow'【辨析】improve 改善(质量)；increase 增加(数量)	
in·deed	/ɪnˈdiːd/	ad. 确实	truly: indeed it is	【词根】in 'in' + deed 'deed'	
in·de·pen·dence	/ˌɪndɪˈpendəns/	n. 独立	self-rule: gain independence	【联想】depend 依赖，independent 独立的【词根】in- 'not' + depend 'depend' + -ence	
independent	/ˌɪndɪˈpendənt/	a. 独立的	self-governing: an independent country	【词根】in- 'not' + depend 'depend' + -ent【联想】depend 依赖，independence 独立	
In·di·a	/ˈɪndiə/	n. 印度	south asian country: visit India	【同】South Asian country 【联想】名词 Indian 印度人	
In·di·an	/ˈɪndiən/	n. 印度人	from India: Indian food	【联想】名词 India 印度	
in·di·cate	/ˈɪndɪkeɪt/	vt. 指示，指出	point out: indicate the way	【同】point out, show【词根】in- 'in' + dic 'say' + -ate【联想】indication 指示，indicator 指示器	
in·dus·try	/ˈɪndəstri/	n. 工业	manufacturing: heavy industry	【联想】industrial 工业的【词根】in- 'in' + dustr 'build'	
in·fer	/ɪnˈfɜːr/	vt. 推断	deduce: infer from the text	【同】deduce; conclude from evidence【词根】in- 'in' + fer 'carry'【联想】inference 推断	
in·flu·ence	/ˈɪnfluəns/	vt. & n. 影响	power to affect: have an influence on	【词根】in- 'in' + flu 'flow' + -ence【联想】influential 有影响力的【辨析】effect 影响(n)；affect 影响(v)；influence 影响(潜移默化)	
in·form	/ɪnˈfɔːm/	vt. 通知	notify: inform sb. of sth.	【联想】information 信息【词根】in- 'in' + form 'form'	
in·for·ma·tion	/ˌɪnfəˈmeɪʃən/	n. 信息	data: get information	【联想】inform 通知【词根】in- 'in' + form 'form' + -ation	
i·ni·tial	/ɪˈnɪʃəl/	a. 初始的	first: initial stage	【反】final【词根】init 'begin' + -ial【联想】initially 最初	
in·jure	/ˈɪndʒər/	vt. 伤害	hurt: injure one's arm	【同】HURT, wound, damage, harm 【联想】injury 伤害【词根】in- 'not' + jure 'law'	
in·ju·ry	/ˈɪndʒəri/	n. 伤害；损伤	wound: a serious injury	【联想】injure 伤害【词根】in- 'not' + jur 'law' + -y	
ink	/ɪŋk/	n. 墨水	writing liquid: a bottle of ink		
inn	/ɪn/	n. 小旅馆	pub: a small inn		
in·no·cent	/ˈɪnəsənt/	a. 清白的	not guilty: an innocent child	【联想】innocence 无辜【词根】in- 'not' + noc 'harm' + -ent	
in·sect	/ˈɪnsekt/	n. 昆虫	small bug: a harmful insect	【同】an animal【词根】in- 'in' + sect 'cut'	
in·sert	/ɪnˈsɜːt/	vt. 插入	put in: insert a coin	【同】put【词根】in- 'in' + sert 'join'	
in·side	/ɪnˈsaɪd/	prep. 在里面	within: inside the room	【联想】side 边，反义 outside 外面	
in·sist	/ɪnˈsɪst/	v. 坚持	demand firmly: insist on doing sth.	【词根】in- 'in' + sist 'stand'【联想】insistence 坚持【搭配】insist on (doing) something	
in·spect	/ɪnˈspekt/	vt. 检查	examine: inspect the goods	【同】examine【词根】in- 'in' + spect 'look'【联想】inspection 检查，inspector 检查员	
in·spire	/ɪnˈspaɪər/	vt. 激励，启示	encourage: inspire sb. to do sth.	【同】encourage【词根】in- 'in' + spire 'breathe'【联想】inspiration 灵感	
in·stant	/ˈɪnstənt/	a. & n. 立即的；瞬间	immediate: instant coffee	【同】IMMEDIATE 【词根】in- 'in' + st 'stand' + -ant【联想】instantly 立即	
in·stead	/ɪnˈsted/	ad. 代替	in place of: instead of	【词根】in 'in' + stead 'place'	
in·sti·tute	/ˈɪnstɪtʃuːt/	n. 机构；学院	organization: a research institute	【词根】in- 'in' + stitut 'set up' + -e【联想】institution 机构	
in·sti·tu·tion	/ˌɪnstɪˈtʃuːʃən/	n. 机构	organization: an educational institution	【联想】institute 学院【词根】in- 'in' + stitut 'set up' + -ion	
in·struct	/ɪnˈstrʌkt/	vt. 指导	direct: instruct sb. to do sth.	【同】order, direct, command 【词根】in- 'in' + struct 'build'【联想】instruction 指令	
in·struc·tion	/ɪnˈstrʌkʃən/	n. 指令	order: follow the instructions	【同】order, command 【联想】instruct 指导【词根】in- 'in' + struct 'build' + -ion	
in·stru·ment	/ˈɪnstrəmənt/	n. 乐器，仪器	tool: a musical instrument	【词根】in- 'in' + stru 'build' + -ment	
in·sur·ance	/ɪnˈʃɔːrəns, ɪnˈʃʊərəns/	n. 保险	coverage: buy insurance	【联想】insure 投保【词根】in- 'make' + sur 'sure' + -ance	
in·sure	/ɪnˈʃɔːr/	v. 投保	buy insurance: insure a car	【联想】insurance 保险【词根】in- 'make' + sure 'sure'	
in·tel·li·gence	/ɪnˈtelɪdʒəns/	n. 智力	mental ability: artificial intelligence	【词根】intel- 'between' + lig 'choose' + -ence【联想】intelligent 聪明的	
in·tel·li·gent	/ɪnˈtelɪdʒənt/	a. 聪明的	clever: an intelligent student	【同】clever, smart, bright, brilliant【词根】intel- 'between' + lig 'choose' + -ent【联想】intelligence 智力	
in·tend	/ɪnˈtend/	vt. 打算	plan: intend to do sth.	【联想】intention 意图【词根】in- 'in' + tend 'stretch'	
in·ten·tion	/ɪnˈtenʃən/	n. 意图	purpose: with the intention of	【同】AIM, purpose, intent, objective, object, goal, target 【联想】intend 打算【词根】in- 'in' + tent 'stretch' + -ion	
in·terest	/ˈɪntrest/	n. 兴趣	curiosity: show interest in	【联想】interested 感兴趣的，interesting 有趣的	
in·terest·ed	/ˈɪntrestɪd/	a. 感兴趣的	curious: be interested in	【联想】interest 兴趣【词根】inter- 'between' + est 'be' + -ed	
in·terest·ing	/ˈɪntrestɪŋ/	a. 有趣的	fascinating: an interesting book	【反】boring, dull 【联想】interest 兴趣【词根】inter- 'between' + est 'be' + -ing	
in·ter·na·tion·al	/ˌɪntəˈnæʃənəl/	a. 国际的	global: international trade	【联想】nation 国家，national 国家的【词根】inter- 'between' + national 'national'	
In·ter·net	/ˈɪntənet/	n. 互联网	web: surf the Internet	【联想】net 网，web 网	
in·ter·pret·er	/ɪnˈtɜːprətər/	n. 口译	translator: a professional interpreter	【同】translator 【联想】interpret 口译，translator 翻译【词根】inter- 'between' + pret 'explain' + -er	
in·ter·rupt	/ˌɪntəˈrʌpt/	vt. 打断	break: interrupt sb.	【同】break 【词根】inter- 'between' + rupt 'break'【联想】interruption 打断	
in·ter·val	/ˈɪntəvəl/	n. 间隔	gap: at intervals	【词根】inter- 'between' + val 'wall'【同】gap, pause	
in·ter·view	/ˈɪntəvjuː/	n. 采访	meeting: have an interview	【联想】interviewer 面试官，interviewee 被面试者【词根】inter- 'between' + view 'see'	
in·to	/ˈɪntuː/	prep. 进入	toward inside: go into the		
in·tro·duce	/ˌɪntrəˈdʒuːs/	vt. 介绍	present: introduce new ideas	【联想】introduction 介绍【词根】intro- 'in' + duce 'lead'	
in·tro·duc·tion	/ˌɪntrəˈdʌkʃən/	n. 引言	preface: make an introduction	【联想】introduce 介绍【词根】intro- 'in' + duct 'lead' + -ion	
in·vent	/ɪnˈvent/	vt. 发明	create: invent a machine	【同】create创造【词根】in- 'in' + vent 'come'【联想】invention 发明，inventor 发明者【辨析】invent 发明(新事物)；discover 发现(已存在)	
in·ven·tion	/ɪnˈvenʃən/	n. 发明	creation: a great invention	【联想】invent 发明【词根】in- 'in' + vent 'come' + -ion	
in·vi·ta·tion	/ˌɪnvɪˈteɪʃən/	n. 邀请	request to attend: send an invitation	【同】request to attend 【联想】invite 邀请【词根】in- 'in' + vit 'invite' + -ation	
in·vite	/ɪnˈvaɪt/	vt. 邀请	ask: invite friends	【联想】invitation 邀请【词根】in- 'in' + vite 'invite'	
i·ron	/aɪən/	n. 铁	a metal: iron clothes		
ir·ri·gate	/ˈɪrɪɡeɪt/	vt. 灌溉	supply water to crops: irrigate fields	【同】water; supply water to crops 【联想】irrigation 灌溉【词根】ir- 'in' + rig 'water' + -ate	
irrigation	/ˌɪrɪˈɡeɪʃən/	n. 灌溉	watering: the process of irrigation	【联想】irrigate 灌溉【词根】ir- 'in' + rig 'water' + -ation	
is·land	/ˈaɪlənd/	n. 岛屿	isle: a small island	【联想】同义 isle 小岛	
it	/ɪt/	pron. 它	that thing: it is sunny		
its	/ɪts/	pron. 它的	belonging to it: its color	【联想】it 它	
it·self	/ɪtˈself/	pron. 它自己	its own self: itself a mystery	【联想】it 它，self 自己	
jack·et	/ˈdʒækɪt/	n. 夹克	short coat: wear a jacket	【联想】coat 外套	
jam	/dʒæm/	n. 果酱	preserve: a jar of jam	【例句】strawberry jam	
Jan·u·a·ry	/ˈdʒænjuəri/	n. 一月	first month: in January	【联想】月份词	
Japan	/dʒəˈpæn/	n. 日本	east asian country: visit Japan	【同】East Asian country 【联想】名词 Japanese 日本人	
Jap·a·nese	/ˌdʒæpənˈiːz/	n. 日本的	from Japan: Japanese culture	【联想】名词 Japan 日本	
jar	/dʒɑːr/	n. 罐子	container: a glass jar	【例句】a jar of marmalade	
jaw	/dʒɔː/	n. 颚	mouth bone: open one's jaw		
jazz	/dʒæz/	n. 爵士乐	music style: listen to jazz	【联想】music 音乐	
jeans	/dʒiːnz/	n. 牛仔裤	denim pants: a pair of jeans	【例句】He was wearing an old pair of jeans.	
Jeep	/dʒiːp/	n. 吉普车	off-road vehicle: drive a jeep	【同】off-road vehicle	
jet	/dʒet/	n. 喷气式飞机	jet plane: a jet plane	【例句】He has his own private jet.	
jew·el·lery	/ˈdʒuːəlri/	n. 珠宝	ornaments: gold jewellery	【备注】英式拼写【联想】jewel 宝石	
jewelry	/ˈdʒuːəlri/	n. 珠宝	ornaments: silver jewelry	【备注】美式拼写【联想】jewel 宝石【例句】buy jewelry	
job	/dʒɒb/	n. 工作	work: get a job	【词组】do a good job 做好工作，on the job 在工作【辨析】job 工作(可数)；work 工作(不可数)；task 任务	
jog	/dʒɒɡ/	vi. 慢跑	run slowly: jog in the park	【词组】jog in the park【同】run slowly for exercise【联想】running 跑步，同义 run 跑	
join	/dʒɔɪn/	v. 加入	become a member: join a club	【联想】joint 关节【词组】join in 参加，join up 入伍	
joke	/dʒəʊk/	n. 笑话	funny story: tell a joke	【联想】funny 有趣的，humor 幽默	
jour·nal·ist	/ˈdʒɜːnəlɪst/	n. 记者	reporter: a good journalist	【联想】journal 杂志，journalism 新闻业【词根】journ 'day' + -alist	
jour·ney	/ˈdʒɜːni/	n. 旅行	trip: a long journey	【联想】trip 旅行，travel 旅行【词根】journ 'day' + -ey	
joy	/dʒɔɪ/	n. 快乐	pleasure: feel joy	【同】pleasure, happiness 【联想】joyful 快乐的【词根】joy 'joy'	
judge	/dʒʌdʒ/	n. 法官 v. 判断	court official: judge a case	【联想】judgement 判断【词根】judge 'judge'	
judgement	/ˈdʒʌdʒmənt/	n. 判断；裁判；审判	verdict: make a judgement	【备注】英式拼写【词组】make a judgement【联想】judge 判断【词根】judge 'judge' + -ment	
judg·ment	/ˈdʒʌdʒmənt/	n. 判断	verdict: good judgment	【备注】美式拼写【联想】judge 判断【词根】judge 'judge' + -ment	
juice	/dʒuːs/	n. 果汁	fruit drink: a glass of juice		
Ju·ly	/dʒuˈlaɪ/	n. 七月	seventh month: in July	【联想】月份词	
jump	/dʒʌmp/	vi. 跳跃	leap: jump high		
June	/dʒuːn/	n. 六月	jun: in June	【同】Jun 【联想】月份词	
jun·gle	/ˈdʒʌŋɡəl/	n. 丛林	rainforest: explore the jungle	【联想】forest 森林	
junior	/ˈdʒuːniər/	a. 年轻的	younger: a junior student	【反】 senior 【联想】反义 senior 年长的	
just	/dʒʌst/	ad. 仅仅，刚才	merely: just right	【辨析】just 仅仅(口语)；only 唯一	
jus·tice	/ˈdʒʌstɪs/	n. 正义	fairness: seek justice	【词根】just 'just' + -ice【联想】词根 just 公正，judge 判断	
kan·ga·roo	/ˌkæŋɡərˈuː/	n. 袋鼠	marsupial: a kangaroo jumps		
keep	/kiːp/	v. (kept, kept) 保持，保留	retain: keep a pet	【同】retain, continue【联想】过去式 kept 保持【例句】Keep calm and try not to worry【词组】keep on 继续，keep up with 跟上，keep away from 远离	
ket·tle	/ˈketəl/	n. 水壶	pot for boiling: a kettle for water		
key	/kiː/	n. 钥匙	lock opener: a key to the door	【联想】keyboard 键盘	
key·board	/ˈkiːbɔːd/	n. 键盘	set of keys for typing: type on the keyboard	【同】set of keys for typing 【联想】key 键，board 板【词根】key 'key' + board 'board'	
kick	/kɪk/	vt. 踢	strike with foot: kick a ball	【同】strike with foot【词组】kick the ball	
kid	/kɪd/	n. 孩子	child: a cute kid	【联想】同义 child 孩子	
kill	/kɪl/	vt. 杀死	slay: kill a fly	【联想】killer 杀手	
ki·lo	/ˈkiːləʊ/	n. 千克	kilogram: a kilo of apples	【联想】kilogram 千克	
kil·o·gram	/ˈkɪləɡræm/	n. 千克	1000 grams: a kilogram of rice	【联想】kilo 千克，gram 克	
kilometer	/ˈkɪləˌmiːtər/	n. 千米	1000 meters: a kilometer away	【词根】kilo 'thousand' + meter 'measure'【联想】kilo 千，meter 米	
kil·o·me·tre	/ˈkɪləˌmiːtər/	n. 千米；公里	1000 meters: run a kilometre	【联想】kilo 千，metre 米	
kind	/kaɪnd/	n. 种类 a. 和蔼的	type: a kind person	【反】cruel, unkind 【联想】kindness 善良【例句】What kind of music do you like?【辨析】type 类型；kind 种类	
kin·der·gar·ten	/ˈkɪndəˌɡɑːtən/	n. 幼儿园	nursery school: go to kindergarten	【联想】kid 孩子，garden 花园【词根】kinder 'children' + garten 'garden'【词源】德语音译	
kind·ness	/ˈkaɪndnəs/	n. 善良	warmth: show kindness	【联想】kind 善良的【词根】kind 'kind' + -ness	
king	/kɪŋ/	n. 国王	ruler: a king's crown	【联想】kingdom 王国	
king·dom	/ˈkɪŋdəm/	n. 王国	country ruled by king: a kingdom of fairies	【同】country ruled by king 【联想】king 国王【词根】king 'king' + -dom	
kiss	/kɪs/	v. 亲吻	peck: kiss on the cheek		
kitch·en	/ˈkɪtʃən/	n. 厨房	a room: in the kitchen		
kite	/kaɪt/	n. 风筝	toy flier: fly a kite		
knee	/niː/	n. 膝盖	leg joint: bend one's knee	字母 k 不发音。	
knife	/naɪf/	n. (pl. knives) 刀	cutting tool: use a knife	字母 k 不发音。【同】blade	
knock	/nɒk/	v. 敲击（门）	tap: knock on the door	字母 k 不发音。	
know	/nəʊ/	vt. (knew, known) 知道	be aware of: know the answer	【联想】knowledge 知识，known 过去分词【辨析】know 知道；learn 学会；understand 理解	
knowl·edge	/ˈnɒlɪdʒ/	n. 知识	understanding: gain knowledge	【同】information, understanding 【联想】know 知道【词根】know 'know' + -ledge	
lab	/læb/	n. 实验室	laboratory: in the lab	【联想】全写 laboratory 实验室【词根】labor 'work'	
la·bor	/ˈleɪbər/	n. 劳动	work: do some labor	【联想】词根 laboratory 实验室【词根】labor 'work'	
la·bor·a·tory	/ləˈbɒrətəri/	n. 实验室	lab: a science laboratory	【词根】labor 'work' + -atory【联想】缩写 lab 实验室	
labour	/ˈleɪbər/	n. 劳动；劳工	work: manual labour	【备注】英式拼写【联想】labor 劳动【词根】labour 'work'	
lack	/læk/	vt. & n. 缺乏	shortage: lack of money	【同】shortage, deficiency, absence【词组】lack of, be lacking in【词根】lack 'lack'	
lad·der	/ˈlædər/	n. 梯子 🪜	climbing steps: climb a ladder		
la·dy	/ˈleɪdi/	n. 女士	gentleman: a beautiful lady	【反】gentleman 【联想】gentleman 绅士	
lake	/leɪk/	n. 湖泊	pond: by the lake		
lamb	/læm/	n. 羔羊	young sheep: a little lamb	【联想】sheep 绵羊	
lame	/leɪm/	a. 瘸的	crippled: a lame duck		
lamp	/læmp/	n. 灯	light: turn on the lamp	【联想】形近 lantern 灯笼	
land	/lænd/	n. 陆地	ground: land on the moon	【同】GROUNDS, fields【反】sea, water 【联想】landlord 地主，mainland 大陆	
lan·guage	/ˈlæŋɡwɪdʒ/	n. 语言	tongue: a foreign language	【词根】lang 'tongue' + -uage	
lan·tern	/ˈlæntən/	n. 灯笼	lamp: a paper lantern	【同】lamp 【联想】lamp 灯	
lap	/læp/	n. 大腿	thighs: sit on one's lap		
large	/lɑːdʒ/	a. 大的	big: a large house	【同】BIG, great, huge 【反】small 【联想】enlarge 扩大	
last	/lɑːst/	a. 最后的 v. 持续	final: the last page		
late	/leɪt/	a. 晚的	tardy: arrive late	【反】 early 【联想】later 后来，latest 最新的【词组】be late for 迟到	
late·ly	/ˈleɪtli/	ad. 最近	recently: lately I'm busy	【联想】late 晚【词根】late 'late' + -ly	
lat·er	/ˈleɪtər/	ad. 后来	subsequently: see you later	【同】SUBSEQUENTLY 【反】earlier, ago, before 【联想】late 晚	
lat·ter	/ˈlætər/	a. 后者的	second: the latter option	【联想】former 前者的【词根】latter 'latter'	
laugh	/lɑːf/	vi. 笑	chuckle: laugh out loud	【同】chuckle, giggle, snigger/snicker, be in stitches【反】cry 【联想】laughter 笑声【词组】laugh at 嘲笑【辨析】laugh 大笑(出声)；smile 微笑	
laugh·ter	/ˈlɑːftər/	n. 笑声	amusement: burst into laughter	【联想】laugh 笑【词根】laugh 'laugh' + -ter	
laun·dry	/ˈlɔːndri/	n. 洗衣	clothes washing: do the laundry	【同】WASHING【词根】laund 'wash' + -ry	
law	/lɔː/	n. 法律	rule: obey the law	【联想】lawyer 律师，lawful 合法的	
law·yer	/ˈlɔɪər/	n. 律师	legal professional: hire a lawyer	【同】attorney, solicitor; legal professional 【联想】law 法律【词根】law 'law' + -yer	
lay	/leɪ/	vt. (laid, laid) 放置	put: lay the table	【同】put 【联想】过去式 laid 放置【辨析】lie 躺/说谎(不及物)；lay 放置(及物)	
la·zy	/ˈleɪzi/	a. 懒惰的	industrious: a lazy cat	【反】industrious 【联想】laziness 懒惰	
lead	/liːd/	vt. (led, led) 领导	guide: lead the way	【同】GUIDE 【反】follow 【联想】leader 领导者	
lead·er	/ˈliːdər/	n. 领导者	chief: a great leader	【联想】lead 领导	
leaf	/liːf/	n. (pl. leaves) 叶子	foliage: a fallen leaf	【同】foliage 【联想】复数 leaves 叶子	
league	/liːɡ/	n. 联盟	group: join a league	【同】group, alliance	
leak	/liːk/	v. & n. 泄漏	escape of liquid/gas: a leak in the roof	【同】escape of liquid/gas	
learn	/lɜːn/	v. (learnt or learned) 学习	study: learn a language	【同】study 【联想】learner 学习者【词组】learn from 向…学习，learn about 了解【辨析】teach 教(sb sth)；learn 学(from)	
least	/liːst/	a. 最少	minimal: at least	【联想】little 的最高级，less 的比较级【词组】at least 至少	
leath·er	/ˈleðər/	n. 皮革	hide: a leather bag	【例句】a leather bag	
leave	/liːv/	v. (left, left) 离开	depart: leave a message	【反】arrive 【联想】过去式 left 左边	
lec·ture	/ˈlektʃər/	n. 讲座	talk: attend a lecture	【同】speech【词组】give/deliver a lecture, attend a lecture 【联想】lecturer 讲师【词根】lect 'read' + -ure	
left	/left/	a. 左边	left side: turn left		
leg	/leɡ/	n. 腿	limb: a broken leg		
le·gal	/ˈliːɡəl/	a. 合法的	lawful: legal rights	【联想】反义 illegal 非法的【词根】leg 'law' + -al	
lem·on	/ˈlemən/	n. 柠檬	citrus fruit: a lemon tree	【联想】lemonade 柠檬水	
lem·on·ade	/ˌleməˈneɪd/	n. 柠檬水	lemon drink: a glass of lemonade	【联想】lemon 柠檬	
lend	/lend/	vt. (lent, lent) 借出	give temporarily: lend a book	【同】loan 【反】borrow 【联想】反义 borrow 借入，lent 借出【辨析】borrow 借入；lend 借出	
length	/leŋθ/	n. 长度	how long: the length of a rope	【同】how long【联想】long 长的【词根】length 'long'【词组】at length 终于；详细地	
less	/les/	a. 较少的	more: less water	【联想】little 的比较级	
les·son	/ˈlesən/	n. 课程	class. have/take lessons: a math lesson	【同】class. have/take lessons 【联想】词根 learn 学习【词根】less 'read' + -on【辨析】lesson 课/教训；class 课/班级	
let	/let/	vt. (let, let) 让	allow: let me in	【同】ALLOW, permit, enable【词组】let down 使失望，let in 让进，let out 放出	
let·ter	/ˈletər/	n. 信件；字母	character: write a letter		
lev·el	/ˈlevəl/	n. 水平，水平面	degree: a high level	【辨析】level 水平；standard 标准	
lib·e·rate	/ˈlɪbəreɪt/	vt. 解放	free: liberate the slaves	【同】free, release 【词根】liber 'free' + -ate【联想】liberty 自由，liberation 解放	
liberation	/ˌlɪbərˈeɪʃən/	n. 解放	freeing: the liberation of a city	【同】FREEING, release 【联想】liberate 解放【词根】liber 'free' + -ation	
lib·er·ty	/ˈlɪbəti/	n. 自由	freedom: fight for liberty	【同】FREEDOM【词根】liber 'free' + -ty【联想】liberate 解放，freedom 自由	
li·brar·i·an	/laɪˈbreəriən/	n. 图书管理员	book keeper: a librarian at work	【联想】library 图书馆【词根】libr 'book' + -arian	
li·bra·ry	/ˈlaɪbrəri/	n. 图书馆	building of books: go to the library	【同】building of books 【联想】librarian 图书管理员【词根】libr 'book' + -ary	
li·cense	/ˈlaɪsəns/	n. 许可证	permit: get a license	【词根】lic 'allow' + -ense	
lid	/lɪd/	n. 盖子	cover: put on the lid		
lie	/laɪ/	vi. (lay, lain, lying) 躺；(lied, lied, lying) 说谎 n. 谎言	recline: lie on the bed	【同】recline 【联想】lied 说谎过去式【辨析】lie 躺/说谎(不及物)；lay 放置(及物)	
life	/laɪf/	n. (pl. lives) 生命	existence: a happy life	【同】existence 【联想】lifetime 一生，living 生活，live 生活【词组】in life 一生中，come to life 苏醒【辨析】life 生活(n)；live 生活(v)/活的(adj)	
life·time	/ˈlaɪftaɪm/	n. 一生	life span: a lifetime achievement	【联想】life 生命，time 时间	
lift	/lɪft/	vt. 举起，提升 n. 电梯	raise: lift a box	【同】RAISE, hoist, heave, haul up【同】elevator【联想】同义 elevator 电梯【辨析】raise 举起(及物)；rise 上升(不及物)；lift 举起(用力)	
light	/laɪt/	n. 光	illumination: turn on the light	【联想】形近 lightning 闪电，lighten 照亮【词组】in the light of 鉴于	
light·ning	/ˈlaɪtnɪŋ/	n. 闪电	electrical flash: a flash of lightning	【同】electrical flash 【联想】形近 light 光	
like	/laɪk/	vt. 喜欢 prep. 像	be fond of; similar to: like ice cream	【同】BE FOND OF【同】SIMILAR TO, the same as, identical to【联想】likely 可能的，alike 相似的	
like·ly	/ˈlaɪkli/	a. 可能的	probable: likely to happen	【词组】be likely to【同】probably【联想】like 喜欢【词根】like 'like' + -ly	
lim·it	/ˈlɪmɪt/	n. 限制 v. 限制	boundary: set a limit	【同】restrict 【联想】limitation 限制【词根】limit 'limit'	
line	/laɪn/	n. 线	stripe: draw a line	【联想】underline 下划线，linear 线性的【词根】line 'line'【词组】in line with 与…一致，on line 在线	
link	/lɪŋk/	n. & v. 链接	connection: link the two ideas	【同】CONNECTION【词根】link 'link'	
li·on	/ˈlaɪən/	n. 狮子	big wild cat: a wild lion		
lip	/lɪp/	n. 嘴唇	edge of mouth: one's lips	【联想】mouth 嘴	
liq·uid	/ˈlɪkwɪd/	n. 液体	fluid: a liquid state	【同】fluid, not solid/gas【词根】liqu 'flow' + -id	
list	/lɪst/	n. 列表	catalog: make a list		
lis·ten	/ˈlɪsən/	vi. 听(+to)	hear: listen to music	【同】hear 【联想】listener 听众【辨析】hear 听见(结果)；listen 听(动作)	
li·ter	/ˈliːtər/	n. 升	litre: a liter of milk	【联想】litre 升【词根】liter 'litre'	
lit·e·ra·ry	/ˈlɪtərəri/	a. 文学的	of literature: a literary work	【词根】liter 'letter' + -ary【联想】literature 文学	
lit·e·ra·ture	/ˈlɪtrətʃər/	n. 文学	written works: study literature	【同】written works【词根】liter 'letter' + -ature【联想】literary 文学的	
li·tre	/ˈliːtər/	n. 升	volume unit: a litre of water	【联想】liter 升	
lit·ter	/ˈlɪtər/	n. 垃圾	rubbish: litter on the ground		
lit·tle	/ˈlɪtəl/	a. (less, least) 小的	small: a little boy	【同】small	
